,State,RTO,RTO Name,Year,Month,Metric,Name,Count
4111969,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-EDUCATION INSTITUTE BUS PERMIT,0
4111970,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-HEAVY GOODS (NP),20
4111971,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-HEAVY GOODS PERMIT,83
4111972,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-LIGHT GOODS (NP),1
4111973,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-LIGHT GOODS PERMIT,23
4111974,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-MAXI CAB PERMIT,0
4111975,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-MEDIUM GOODS (NP),4
4111976,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-MEDIUM GOODS PERMIT,18
4111977,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-MODULAR HYDRAULIC TRACTOR,0
4111978,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-MOTOR CAB PERMIT,27
4111979,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-MULTI AXLE GOODS VCH(<=50tons),79
4111980,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-MULTI-AXLE TRAILER (> 50tons),2
4111981,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-Other,3
4111982,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Category,-PRIVATE SERVICE VEHICLE,0
4111983,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Purpose,Fresh Permit,393
4111984,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Purpose,Renewal of Permit,0
4111985,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Purpose,Temporary Permit,9
4111986,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Type,Contract Carriage Permit,27
4111987,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Type,Goods Permit,143
4111988,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Type,National Permit,106
4111989,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Type,Private Service Vehicle Permit,0
4111990,KA,1,BENGALURU CENTRAL  RTO,2021,1,Permit Type,other type,3
4111991,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,FOUR WHEELER (Invalid Carriage),0
4111992,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,HEAVY GOODS VEHICLE,103
4111993,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,HEAVY MOTOR VEHICLE,0
4111994,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,LIGHT GOODS VEHICLE,47
4111995,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,LIGHT MOTOR VEHICLE,1581
4111996,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,LIGHT PASSENGER VEHICLE,6
4111997,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,MEDIUM GOODS VEHICLE,13
4111998,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,MEDIUM MOTOR VEHICLE,1
4111999,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,MEDIUM PASSENGER VEHICLE,1
4112000,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,OTHER THAN MENTIONED ABOVE,29
4112001,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,THREE WHEELER(NT),0
4112002,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,THREE WHEELER(T),55
4112003,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,TWO WHEELER (Invalid Carriage),0
4112004,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Category,TWO WHEELER(NT),3067
4112005,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Adapted Vehicle,0
4112006,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Ambulance,1
4112007,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Articulated Vehicle,10
4112008,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Bus,1
4112009,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Cash Van,0
4112010,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Construction Equipment Vehicle,3
4112011,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Crane Mounted Vehicle,4
4112012,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Earth Moving Equipment,3
4112013,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Educational Institution Bus,0
4112014,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Fire Tenders,0
4112015,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Goods Carrier,153
4112016,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-M-Cycle/Scooter,2474
4112017,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-M-Cycle/Scooter-With Side Car,5
4112018,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Maxi Cab,0
4112019,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Moped,215
4112020,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Motor Cab,5
4112021,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Motor Car,1581
4112022,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Motorised Cycle (CC > 25cc),373
4112023,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Omni Bus,0
4112024,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Private Service Vehicle,0
4112025,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Private Service Vehicle (Individual Use),0
4112026,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Three Wheeler (Goods),17
4112027,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Three Wheeler (Passenger),38
4112028,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Three Wheeler (Personal),0
4112029,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Vehicle Fitted With Compressor,0
4112030,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Class,-Vehicle Fitted With Rig,20
4112031,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Fuel,CNG ONLY,2
4112032,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Fuel,DIESEL,488
4112033,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Fuel,DIESEL/HYBRID,0
4112034,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Fuel,ELECTRIC(BOV),66
4112035,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Fuel,LPG ONLY,33
4112036,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Fuel,PETROL,4221
4112037,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Fuel,PETROL/CNG,9
4112038,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Fuel,PETROL/HYBRID,80
4112039,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Fuel,PETROL/LPG,4
4112040,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,ACTION CONSTRUCTION EQUIPMENT LTD.,0
4112041,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,ADISHWAR AUTO RIDE INDIA PVT LTD,0
4112042,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,AJAX ENGINEERING LTD,0
4112043,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,ALL TERRAIN CRANE,0
4112044,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,AMPERE VEHICLES PRIVATE LIMITED,1
4112045,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,ASHOK LEYLAND LTD,87
4112046,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,ATHER ENERGY LTD,21
4112047,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,AUDI AG,4
4112048,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,AUTOMOBILI LAMBORGHINI S.P.A,0
4112049,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,BAJAJ AUTO LTD,284
4112050,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,1
4112051,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,BENTLEY MOTORS LIMITED,0
4112052,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,BMW INDIA PVT LTD,15
4112053,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,1
4112054,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,CATERPILLAR INDIA PRIVATE LIMITED,2
4112055,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,CLASSIC LEGENDS PVT LTD,15
4112056,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,DAEWOO MOTORS INDIA LTD,1
4112057,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,DAIMLER AG,1
4112058,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,8
4112059,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,DUCATI INDIA PVT LTD,2
4112060,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,ECO FUEL SYSTEMS (I) PVT LTD,0
4112061,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),3
4112062,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,FCA INDIA AUTOMOBILES PRIVATE LIMITED,6
4112063,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,FORCE MOTORS LIMITED,3
4112064,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,FORD INDIA PVT LTD,65
4112065,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,H-D MOTOR COMPANY INDIA PVT LTD,0
4112066,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,HERO ELECTRIC VEHICLES PVT. LTD,2
4112067,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,HERO MOTOCORP LTD,211
4112068,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,HONDA CARS INDIA LTD,115
4112069,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,1174
4112070,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,HYUNDAI MOTOR INDIA LTD,251
4112071,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,INDIA KAWASAKI MOTORS PVT LTD,2
4112072,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,INDIA YAMAHA MOTOR PVT LTD,163
4112073,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,ISUZU MOTORS INDIA PVT LTD,2
4112074,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,JAGUAR LAND ROVER INDIA LIMITED,7
4112075,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,JCB INDIA LIMITED,1
4112076,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,JITENDRA NEW EV-TECH PVT. LTD,0
4112077,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,JSW MG MOTOR INDIA PVT LTD,46
4112078,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,KIA INDIA PRIVATE LIMITED,172
4112079,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,KOMATSU LTD JAPAN,1
4112080,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,L&T CONSTRUCTION EQUIPMENT LIMITED,0
4112081,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,LIUGONG INDIA PVT. LTD,0
4112082,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,MAHINDRA & MAHINDRA LIMITED,63
4112083,KA,1,BENGALURU CENTRAL  RTO,2021,1,Registration Manufacturer,MAHINDRA ELECTRIC MOBILITY LIMITED,0
